q_factor,theoretical_capacity,theoretical_psnr,error_probability,quality_capacity_product
0.5,2.0,63.01029995663981,0.8,126.02059991327963
1.0,1.0,60.0,0.5,60.0
1.5,0.6666666666666666,58.23908740944319,0.3076923076923077,38.82605827296212
2.0,0.5,56.98970004336019,0.2,28.494850021680094
2.5,0.4,56.020599913279625,0.13793103448275862,22.40823996531185
3.0,0.3333333333333333,55.228787452803374,0.1,18.409595817601122
3.5,0.2857142857142857,54.55931955649724,0.07547169811320754,15.588377016142068
4.0,0.25,53.979400086720375,0.058823529411764705,13.494850021680094
4.5,0.2222222222222222,53.46787486224656,0.047058823529411764,11.881749969388125
5.0,0.2,53.01029995663981,0.038461538461538464,10.602059991327963
5.5,0.18181818181818182,52.59637310505756,0.032,9.562976928192283
6.0,0.16666666666666666,52.21848749616356,0.02702702702702703,8.703081249360594
7.0,0.14285714285714285,51.54901959985743,0.02,7.3641456571224895
8.0,0.125,50.96910013008056,0.015384615384615385,6.37113751626007
10.0,0.1,50.0,0.009900990099009901,5.0
12.0,0.08333333333333333,49.20818753952375,0.006896551724137931,4.100682294960312
15.0,0.06666666666666667,48.23908740944319,0.004424778761061947,3.2159391606295458
20.0,0.05,46.98970004336019,0.0024937655860349127,2.3494850021680094
25.0,0.04,46.020599913279625,0.001597444089456869,1.840823996531185
30.0,0.03333333333333333,45.228787452803374,0.0011098779134295228,1.507626248426779
